Deep	Facts	Queries	Prcd	Name	Time	Hits
2	500	500	50	LIFO	318	50
2	500	500	166	Simple	298	0
2	500	500	166	LRU	373	134
2	500	500	166	LIFO	337	134
2	500	1000	10	Simple	616	0
2	500	1000	10	LRU	644	22
2	500	1000	10	LIFO	624	18
2	500	1000	100	Simple	598	0
2	500	1000	100	LRU	699	204
2	500	1000	100	LIFO	657	204
2	500	1000	333	Simple	610	0
2	500	1000	333	LRU	789	521
2	500	1000	333	LIFO	717	521
2	500	2500	25	Simple	1566	0
2	500	2500	25	LRU	1635	133
2	500	2500	25	LIFO	1595	125
2	500	2500	250	Simple	1549	0
2	500	2500	250	LRU	2021	1180
2	500	2500	250	LIFO	1832	1178
2	500	2500	833	Simple	1580	0
2	500	2500	833	LRU	1977	2002
2	500	2500	833	LIFO	1886	2002
2	1000	100	1	Simple	118	0
2	1000	100	1	LRU	116	1
2	1000	100	1	LIFO	121	0
2	1000	100	10	Simple	124	0
2	1000	100	10	LRU	127	1
2	1000	100	10	LIFO	122	1
2	1000	100	33	Simple	124	0
2	1000	100	33	LRU	125	1
2	1000	100	33	LIFO	126	1
2	1000	500	5	Simple	609	0
2	1000	500	5	LRU	617	2
2	1000	500	5	LIFO	614	1
2	1000	500	50	Simple	595	0
2	1000	500	50	LRU	641	22
2	1000	500	50	LIFO	618	22
2	1000	500	166	Simple	605	0
2	1000	500	166	LRU	705	54
2	1000	500	166	LIFO	643	53
2	1000	1000	10	Simple	1240	0
2	1000	1000	10	LRU	1242	11
2	1000	1000	10	LIFO	1194	11
2	1000	1000	100	Simple	1221	0
2	1000	1000	100	LRU	1335	99
2	1000	1000	100	LIFO	1274	98
2	1000	1000	333	Simple	1212	0
2	1000	1000	333	LRU	1476	236
2	1000	1000	333	LIFO	1362	236
2	1000	2500	25	Simple	3071	0
2	1000	2500	25	LRU	3149	59
2	1000	2500	25	LIFO	3083	59
2	1000	2500	250	Simple	3064	0
2	1000	2500	250	LRU	3611	548
2	1000	2500	250	LIFO	3366	548
2	1000	2500	833	Simple	3070	0
2	1000	2500	833	LRU	3929	1543
2	1000	2500	833	LIFO	3579	1543
